1958-11-17	28	19	5	little star	the elegants	Apt 25005
1958-11-17	29	RE	3	bird dog	the everly brothers	Cadence 1350
1958-11-17	30	18	5	ten commandments of love	harvey & the moonglows	Chess 1705
1958-11-24	1	1	6	topsy ii	cozy cole	Love 5004
1958-11-24	2	3	6	rock-in robin	bobby day	Class 229
1958-11-24	3	2	6	it's all in the game	tommy edwards	MGM 12688
1958-11-24	4	4	6	a lover's question	clyde mcphatter	Atlantic 1199
1958-11-24	5	5	6	i'm gonna get my baby	jimmy reed	Vee-Jay 304
1958-11-24	6	6	6	key to the highway	little walter	Checker 904
1958-11-24	7	9	4	queen of the hop	bobby darin	Atco 6127
1958-11-24	8	7	6	hold it	bill doggett	King 5149
1958-11-24	9	14	6	close to you	muddy waters	
1958-11-24	10	20	2	lonely teardrops	jackie wilson	
1958-11-24	11	16	2	nobody but you	dee clark	Abner 1019
1958-11-24	12	22	6	it don't hurt no more	nappy brown	
1958-11-24	13	11	3	please accept my love	b.b. king	
1958-11-24	14	18	3	try me	james brown and the famous flames	Federal 12337
1958-11-24	15	13	6	win your love for me	sam cooke	Keen 3-2006
1958-11-24	16	NEW	1	whole lotta loving	fats domino	Imperial 5553
1958-11-24	17	25	2	to know him, is to love him	the teddy bears	Dore 503
1958-11-24	18	27	2	one night	elvis presley	RCA Victor 47-7410
1958-11-24	19	NEW	1	everything will be alright	gene allison	Vee-Jay 299
1958-11-24	20	15	6	little boy blue	bobby "blue" bland	Duke 196
1958-11-24	21	10	6	tears on my pillow	little anthony and the imperials	End 1027
1958-11-24	22	23	4	it's only make believe	conway twitty	MGM 12677
1958-11-24	23	17	3	why me	ruth brown	Geffen 29464
1958-11-24	24	21	6	baby face	little richard	Specialty 645
1958-11-24	25	RE	2	you've been an angel	b.b. king	
1958-11-24	26	12	6	chantilly lace	big bopper	Mercury 71343
1958-11-24	27	NEW	1	here i stand	wade flemons and the newcomers	Vee-Jay 295
1958-11-24	28	NEW	1	secret love	ahmad jamal	
1958-11-24	29	NEW	1	need your love	bobby freeman	Josie 844
1958-11-24	30	NEW	1	lonesome town	ricky nelson	
1958-12-01	1	1	7	topsy ii	cozy cole	Love 5004
1958-12-01	2	4	7	a lover's question	clyde mcphatter	Atlantic 1199
1958-12-01	3	16	2	whole lotta loving	fats domino	Imperial 5553
1958-12-01	4	3	7	it's all in the game	tommy edwards	MGM 12688
1958-12-01	5	5	7	i'm gonna get my baby	jimmy reed	Vee-Jay 304
1958-12-01	6	11	3	nobody but you	dee clark	Abner 1019
1958-12-01	7	10	3	lonely teardrops	jackie wilson	
1958-12-01	8	2	7	rock-in robin	bobby day	Class 229
1958-12-01	9	6	7	key to the highway	little walter	Checker 904
1958-12-01	10	12	7	it don't hurt no more	nappy brown	
1958-12-01	11	14	4	try me	james brown and the famous flames	Federal 12337
1958-12-01	12	8	7	hold it	bill doggett	King 5149
1958-12-01	13	17	3	to know him, is to love him	the teddy bears	Dore 503
1958-12-01	14	7	5	queen of the hop	bobby darin	Atco 6127
1958-12-01	15	9	7	close to you	muddy waters	
1958-12-01	16	13	4	please accept my love	b.b. king	
1958-12-01	17	18	3	one night	elvis presley	RCA Victor 47-7410
1958-12-01	18	15	7	win your love for me	sam cooke	Keen 3-2006
1958-12-01	19	22	5	it's only make believe	conway twitty	MGM 12677
1958-12-01	20	25	3	you've been an angel	b.b. king	
1958-12-01	21	28	2	secret love	ahmad jamal	
1958-12-01	22	26	7	chantilly lace	big bopper	Mercury 71343
1958-12-01	23	19	2	everything will be alright	gene allison	Vee-Jay 299
1958-12-01	24	27	2	here i stand	wade flemons and the newcomers	Vee-Jay 295
1958-12-01	25	NEW	1	love you most of all	sam cooke	Keen 3-2008
1958-12-01	26	20	7	little boy blue	bobby "blue" bland	Duke 196
1958-12-01	27	RE	6	ten commandments of love	harvey & the moonglows	Chess 1705
1958-12-01	28	23	4	why me	ruth brown	Geffen 29464
1958-12-01	29	NEW	1	tom dooley	the kingston trio	
1958-12-01	30	24	7	baby face	little richard	Specialty 645
1958-12-08	1	2	8	a lover's question	clyde mcphatter	Atlantic 1199
1958-12-08	2	3	3	whole lotta loving	fats domino	Imperial 5553
1958-12-08	3	1	8	topsy ii	cozy cole	Love 5004
1958-12-08	4	6	4	nobody but you	dee clark	Abner 1019
1958-12-08	5	7	4	lonely teardrops	jackie wilson	
1958-12-08	6	5	8	i'm gonna get my baby	jimmy reed	Vee-Jay 304
1958-12-08	7	4	8	it's all in the game	tommy edwards	MGM 12688
1958-12-08	8	10	8	it don't hurt no more	nappy brown	
1958-12-08	9	9	8	key to the highway	little walter	Checker 904
1958-12-08	10	13	4	to know him, is to love him	the teddy bears	Dore 503
1958-12-08	11	8	8	rock-in robin	bobby day	Class 229
1958-12-08	12	17	4	one night	elvis presley	RCA Victor 47-7410
1958-12-08	13	14	6	queen of the hop	bobby darin	Atco 6127
1958-12-08	14	11	5	try me	james brown and the famous flames	Federal 12337
1958-12-08	15	12	8	hold it	bill doggett	King 5149
1958-12-08	16	20	4	you've been an angel	b.b. king	
1958-12-08	17	16	5	please accept my love	b.b. king	
1958-12-08	18	21	3	secret love	ahmad jamal	
1958-12-08	19	15	8	close to you	muddy waters	
1958-12-08	20	19	6	it's only make believe	conway twitty	MGM 12677
1958-12-08	21	18	8	win your love for me	sam cooke	Keen 3-2006
1958-12-08	22	25	2	love you most of all	sam cooke	Keen 3-2008
1958-12-08	23	24	3	here i stand	wade flemons and the newcomers	Vee-Jay 295
1958-12-08	24	29	2	tom dooley	the kingston trio	
1958-12-08	25	22	8	chantilly lace	big bopper	Mercury 71343
1958-12-08	26	NEW	1	sweet home chicago	little junior parker	Duke 301
